Tab.1.10.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung, Erwerbstätigkeit und Bruttoinlandsprodukt (regionale Strukturdaten) 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;2000;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;1991;2000;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Kategorie;Land;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%)
Erwerbstätige 3);Bremen;397,9;394,5;409,3;407,1;407,2;412,8;419,3;420,8;422,3;423,1;427,9;431,4;435,8;438,9;434,6;433,5;440;444,3;445,2;446,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Erwerbstätige 3);Hamburg;1022,9;1052,6;1120,8;1137,4;1148,1;1164,6;1186,8;1201,8;1211,2;1222,2;1243,5;1260,1;1279,1;1297,8;1293,6;1293,5;1321,5;1348,2;1358,5;1369,5;2,6;2,6;2,7;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,9;2,9;2,9;2,9;2,9;2,9;3;3
Erwerbstätige 3);Hessen;2958,5;3120,5;3159,8;3171,2;3179,2;3217,7;3255,8;3269;3304,5;3341,7;3385,5;3440,5;3494,5;3529,9;3505,4;3516,7;3568,3;3597,4;3613,7;3621,4;7,6;7,8;7,7;7,8;7,7;7,7;7,7;7,7;7,7;7,7;7,7;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,9;7,9
Erwerbstätige 3);Mecklenburg-Vorpommern;836,1;767,3;750;755,6;751,8;741,3;734,8;733,7;740,9;742,9;746,4;752,9;758;761,5;756,5;757,2;760,3;759,1;752,2;750,6;2,2;1,9;1,8;1,8;1,8;1,8;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,7;1,6;1,6
Erwerbstätige 3);Niedersachsen;3300,7;3585,1;3709,2;3740,8;3766,7;3827,5;3887,4;3922,3;3956,7;3988;4036,9;4088,1;4141,3;4183;4158,4;4167,1;4213,4;4234,8;4237,3;4240,5;8,5;9;9,1;9,1;9,2;9,2;9,2;9,3;9,3;9,2;9,2;9,2;9,2;9,2;9,2;9,3;9,2;9,2;9,2;9,2
Erwerbstätige 3);Nordrhein-Westfalen;8072,8;8618,5;8795,4;8773,7;8804,3;8919,3;9013,7;9073,2;9149,7;9237;9335,1;9447,9;9568,3;9659,2;9592,1;9631,8;9767,7;9815,4;9824,5;9839,4;20,8;21,6;21,5;21,4;21,4;21,5;21,4;21,4;21,4;21,4;21,4;21,3;21,3;21,3;21,3;21,4;21,4;21,4;21,4;21,4
Erwerbstätige 3);Rheinland-Pfalz;1684,2;1808,8;1907,2;1905,7;1911,1;1929;1945,4;1953,3;1968,7;1982;1998,7;2018,4;2037,9;2050,4;2028,7;2031,3;2053,2;2061,4;2059,9;2057,6;4,3;4,5;4,7;4,7;4,7;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,5;4,5;4,5;4,5;4,5;4,5;4,5;4,5
Erwerbstätige 3);Saarland;484,1;517,7;520,5;517,8;520,9;526,3;527,1;522,9;522,6;523,6;529;532,7;535,4;536;528,2;525,3;526,6;525,3;520,8;516,3;1,2;1,3;1,3;1,3;1,3;1,3;1,3;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,2;1,1;1,1;1,1
Erwerbstätige 3);Sachsen;2257,1;2001,2;1964,2;1955,5;1967;1970,3;1987,3;1998,8;2005,6;2000,7;2018,6;2039,8;2057,9;2064,6;2050,5;2052;2067,7;2069,9;2064,5;2049,5;5,8;5;4,8;4,8;4,8;4,7;4,7;4,7;4,7;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,5;4,5;4,5;4,5
Erwerbstätige 3);Sachsen-Anhalt;1277,9;1071,7;1027,5;1023,8;1025,2;1020,2;1015,2;1009,8;1004,3;1000,8;1002,8;1006,3;1007,3;1007;996,4;994,2;994,9;991,7;989,1;983,8;3,3;2,7;2,5;2,5;2,5;2,5;2,4;2,4;2,3;2,3;2,3;2,3;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,1
